寿命,触发因素,主要物质组成,坝体体积,坝体高度,坝体长度,0,0.1,0.2,0.3,0.4,0.5,年平均流量,0.6
-1.6989700043360187,1.0,1.0,-1.0268721464003014,1.1760912590556813,2.113943352306837,-2.053744292800603,0.14921911265537988,1.0870712059065355,2.3521825181113627,3.290034611362518,4.227886704613674,1.0413926851582251,2.0827853703164503
-1.3979400086720375,1.0,1.0,1.187520720836463,1.6434526764861874,2.568201724066995,2.375041441672926,2.8309733973226505,3.755722444903458,3.286905352972375,4.211654400553183,5.13640344813399,1.478999131673357,2.9579982633467137
-1.3979400086720375,1.0,1.0,-0.38721614328026455,1.255272505103306,2.0,-0.7744322865605316,0.8680563618230416,1.6127838567197355,2.510545010206612,3.255272505103306,4.0,1.4771212547196624,2.9542425094393248
-1.0969100130080565,1.0,1.0,-1.136677139879544,0.8450980400142568,2.0,-2.273354279759089,-0.29157909986528724,0.8633228601204559,1.6901960800285136,2.845098040014257,4.0,1.919078092376074,3.838156184752148
-1.0969100130080565,1.0,2.0,-0.3187587626244128,0.9030899869919435,2.4771212547196626,-0.6375175252488255,0.5843312243675308,2.1583624920952498,1.806179973983887,3.380211241711606,4.954242509439325,2.2041199826559246,4.408239965311849
-1.0,1.0,1.0,-0.8239087409443188,1.0,2.1760912590556813,-1.6478174818886375,0.17609125905568124,1.3521825181113625,2.0,3.1760912590556813,4.352182518111363,1.8388490907372552,3.6776981814745104
-0.6989700043360187,1.0,0.0,0.3010299956639812,1.7558748556724915,2.0791812460476247,0.6020599913279624,2.0569048513364727,2.380211241711606,3.511749711344983,3.835056101720116,4.158362492095249,3.198931869932209,6.397863739864418
-0.6989700043360187,1.0,1.0,-0.3467874862246563,1.3979400086720377,2.2041199826559246,-0.6935749724493127,1.0511525224473812,1.8573324964312685,2.7958800173440754,3.6020599913279625,4.408239965311849,0.7781512503836436,1.5563025007672873
-0.5391021572434522,1.0,1.0,0.3979400086720376,1.9030899869919435,2.0,0.7958800173440752,2.3010299956639813,2.3979400086720375,3.806179973983887,3.9030899869919438,4.0,1.3010299956639813,2.6020599913279625
-0.3979400086720376,1.0,0.0,-0.2218487496163564,1.3010299956639813,2.3010299956639813,-0.44369749923271273,1.0791812460476249,2.0791812460476247,2.6020599913279625,3.6020599913279625,4.6020599913279625,0.8450980400142568,1.6901960800285136
-0.3979400086720376,1.0,1.0,-0.2006594505464183,1.3010299956639813,2.0791812460476247,-0.40131890109283663,1.100370545117563,1.8785217955012066,2.6020599913279625,3.380211241711606,4.158362492095249,0.9030899869919435,1.806179973983887
-0.3979400086720376,1.0,1.0,-0.2006594505464183,1.3979400086720377,2.3010299956639813,-0.40131890109283663,1.1972805581256194,2.100370545117563,2.7958800173440754,3.6989700043360187,4.6020599913279625,0.9030899869919435,1.806179973983887
-0.1549019599857432,1.0,1.0,-0.07058107428570728,1.6989700043360187,2.255272505103306,-0.14116214857141512,1.6283889300503116,2.184691430817599,3.3979400086720375,3.9542425094393248,4.510545010206612,1.845098040014257,3.690196080028514
0.0,1.0,1.0,0.04139268515822508,1.7781512503836436,2.3979400086720375,0.08278537031645007,1.8195439355418688,2.439332693830263,3.5563025007672873,4.176091259055681,4.795880017344075,0.3010299956639812,0.6020599913279624
0.0,1.0,1.0,-1.0,1.3010299956639813,2.3010299956639813,-2.0,0.3010299956639812,1.3010299956639813,2.6020599913279625,3.6020599913279625,4.6020599913279625,0.9542425094393249,1.9084850188786497
0.17609125905568124,1.0,1.0,0.04139268515822508,1.8750612633917,2.5440680443502757,0.08278537031645007,1.916453948549925,2.5854607295085006,3.7501225267834,4.419129307741976,5.088136088700551,0.0,0.0
0.414973347970818,0.0,2.0,1.3979400086720377,1.7853298350107671,2.7596678446896306,2.7958800173440754,3.1832698436828046,4.157607853361668,3.5706596700215343,4.544997679700398,5.519335689379261,3.2695129442179165,6.539025888435833
0.47712125471966244,0.0,1.0,1.4771212547196624,1.8864907251724818,2.81424759573192,2.9542425094393248,3.3636119798921444,4.291368850451582,3.7729814503449637,4.700738320904402,5.62849519146384,3.5873741720730656,7.174748344146131
0.47712125471966244,0.0,1.0,1.6989700043360187,1.9030899869919435,2.929418925714293,3.3979400086720375,3.6020599913279625,4.628388930050312,3.806179973983887,4.832508912706237,5.858837851428586,3.5873741720730656,7.174748344146131
0.47712125471966244,1.0,1.0,0.5185139398778874,1.9030899869919435,2.3979400086720375,1.037027879755771,2.4216039268698313,2.916453948549925,3.806179973983887,4.301029995663981,4.795880017344075,2.5888317255942073,5.1776634511884145
0.6989700043360189,1.0,1.0,1.0,2.278753600952829,2.7781512503836434,2.0,3.278753600952829,3.7781512503836434,4.557507201905658,5.056904851336473,5.556302500767287,0.6020599913279624,1.2041199826559248
0.7781512503836436,1.0,0.0,0.5314789170422551,2.146128035678238,2.6020599913279625,1.0629578340845065,2.677606952720493,3.1335389083702174,4.292256071356476,4.748188027006201,5.204119982655925,0.47712125471966244,0.9542425094393249
0.7781512503836436,1.0,2.0,-0.017728766960431602,1.5797835966168101,2.041392685158225,-0.035457533920863184,1.5620548296563785,2.0236639181977933,3.1595671932336202,3.621176281775035,4.08278537031645,0.47712125471966244,0.9542425094393249
0.9542425094393249,1.0,1.0,1.8325089127062364,2.2430380486862944,2.3010299956639813,3.665017825412473,4.075546961392531,4.133538908370218,4.486076097372589,4.544068044350276,4.6020599913279625,2.462397997898956,4.924795995797912
1.0,1.0,1.0,0.414973347970818,2.0,2.6020599913279625,0.829946695941636,2.4149733479708178,3.0170333392987803,4.0,4.6020599913279625,5.204119982655925,0.0,0.0
