稳定性,主要物质组成,坝体高度,坝体宽度,集水区面积,下游河道坡度
1.0,2.0,1.60206,3.0791812,2.0934217,0.041392684
1.0,1.0,1.90309,3.0,2.1199155,-0.096910015
0.0,0.0,1.30103,2.30103,0.32221928,1.0
1.0,1.0,1.4771212,2.60206,1.5670264,0.07918125
1.0,2.0,1.69897,2.7781513,1.9294189,0.041392684
0.0,1.0,1.4771212,2.544068,0.69897,0.81954396
1.0,2.0,1.0,2.30103,0.11394335,0.5563025
1.0,1.0,1.39794,3.0,1.8762178,0.23044892
1.0,1.0,2.0,2.7242758,1.6127839,0.53147894
0.0,1.0,1.0791812,2.4313638,0.845098,0.8920946
0.0,0.0,1.0,2.4313638,1.0413927,0.07918125
0.0,1.0,1.0791812,2.2552724,1.2787536,0.07918125
1.0,2.0,1.60206,2.4771214,0.67209786,0.5563025
0.0,1.0,1.4771212,2.7923918,2.1804125,-0.15490197
1.0,2.0,1.1760913,2.4941547,1.3443923,0.3424227
0.0,2.0,1.90309,2.942008,2.1682026,0.07918125
0.0,2.0,1.1760913,2.69897,1.9190781,0.17609125
1.0,1.0,1.60206,2.6532125,0.17609125,1.3384565
0.0,1.0,1.69897,2.929419,1.3222193,0.47712126
1.0,2.0,1.519828,3.30103,1.9777236,-0.22184876
0.0,0.0,1.39794,2.90309,1.9580859,0.60206
0.0,2.0,1.39794,2.672098,1.5797836,0.2787536
1.0,2.0,1.1760913,2.30103,1.1846914,0.54406804
0.0,2.0,1.5440681,2.69897,2.5327544,-0.39794
1.0,2.0,1.30103,2.8129134,1.9590414,-0.22184876
1.0,1.0,1.0,2.6532125,1.3138672,0.2787536
1.0,2.0,1.0,2.2787535,0.6232493,0.41497335
1.0,2.0,1.60206,3.0413928,1.9698817,0.0
1.0,1.0,1.1760913,2.9542425,1.2355285,1.3201463
1.0,1.0,1.20412,3.1383028,2.3944516,-0.096910015
1.0,2.0,1.6532125,3.0,1.2900347,0.7781513
1.0,1.0,1.69897,3.2552724,1.6106602,0.80618
1.0,2.0,1.30103,2.9542425,1.462398,0.60206
1.0,1.0,1.845098,3.0606978,2.2787535,-0.30103
1.0,2.0,1.4771212,3.50515,1.8639174,0.54406804
1.0,1.0,1.7781513,2.90309,2.0538464,-0.22184876
1.0,2.0,1.30103,2.6812413,2.765445,0.0
1.0,2.0,2.0,3.3802114,2.2725377,0.041392684
1.0,1.0,1.69897,2.8129134,1.2855573,0.50514996
1.0,2.0,1.6532125,3.230449,1.6063814,0.7558749
1.0,2.0,1.4771212,3.0413928,0.9294189,0.5185139
1.0,2.0,1.4771212,2.69897,2.0802655,0.07918125
0.0,1.0,0.69897,2.1760912,0.748188,1.2741579
0.0,0.0,1.0,2.544068,0.60206,0.5797836
1.0,2.0,1.30103,2.845098,3.3865168,-0.52287877
0.0,0.0,1.1760913,3.0,1.5263393,0.30103
1.0,2.0,1.1760913,2.4913616,0.30103,0.81291336
0.0,1.0,0.69897,2.9777236,1.7611759,-0.69897
1.0,2.0,1.60206,2.90309,2.067443,0.8325089
1.0,2.0,1.7781513,2.6766937,-0.15490197,0.63346845
0.0,0.0,1.1760913,2.3222194,1.6232493,0.041392684
0.0,1.0,1.0,2.0606978,1.6232493,0.041392684
0.0,2.0,1.39794,2.6532125,2.0289776,-0.04575749
0.0,1.0,1.0,2.7781513,1.9867717,0.4913617
0.0,2.0,1.1760913,2.0,0.11394335,0.9777236
1.0,2.0,1.30103,2.1760912,1.1205739,-0.30103
1.0,2.0,1.90309,2.8293037,0.96378785,0.44715804
0.0,1.0,0.845098,2.90309,2.3479152,0.5563025
1.0,1.0,1.30103,2.69897,0.98227125,0.23044892
0.0,1.0,1.4771212,2.4393327,2.0326188,0.041392684
0.0,1.0,1.30103,2.50515,1.367356,0.54406804
1.0,2.0,1.30103,2.929419,1.2479733,0.07918125
1.0,1.0,1.4771212,2.845098,1.6785184,0.07918125
1.0,2.0,2.0,2.7923918,2.195346,0.36172783
0.0,1.0,0.69897,3.1760912,2.9008584,0.83884907
0.0,0.0,1.0,2.0413928,0.9542425,1.0086001
0.0,1.0,1.30103,2.2787535,1.3891661,0.2787536
0.0,1.0,1.0,2.2552724,1.9415114,0.53147894
0.0,1.0,0.90309,2.9542425,2.114611,0.32221928
0.0,2.0,1.0,2.7781513,2.4978967,0.14612803
0.0,2.0,1.4771212,2.9542425,0.85125834,0.81954396
0.0,0.0,1.1760913,2.90309,1.9116901,0.07918125
