寿命,主要物质组成,坝体体积,坝体高度,坝体长度,0,0.1,0.2,0.3,0.4,0.5,集水区面积,0.6
-2.0,2.0,-0.744727494896694,1.0,1.9030899869919435,-1.489454989793388,0.2552725051033037,1.1583624920952467,2.0,2.9030899869919438,3.806179973983887,1.7781512503836436,3.5563025007672873
-1.6989700043360187,1.0,-1.0268721464003014,1.1760912590556813,2.113943352306837,-2.053744292800603,0.14921911265537988,1.0870712059065355,2.3521825181113627,3.290034611362518,4.227886704613674,2.0043213737826426,4.008642747565285
-1.3979400086720375,1.0,-0.38721614328026455,1.255272505103306,2.0,-0.7744322865605316,0.8680563618230416,1.6127838567197355,2.510545010206612,3.255272505103306,4.0,2.4409090820652177,4.8818181641304355
-1.0969100130080565,1.0,-1.136677139879544,0.8450980400142568,2.0,-2.273354279759089,-0.29157909986528724,0.8633228601204559,1.6901960800285136,2.845098040014257,4.0,2.8920946026904804,5.784189205380961
-0.6989700043360187,1.0,-0.638272163982407,1.0,2.113943352306837,-1.2765443279648143,0.36172783601759284,1.4756711883244296,2.0,3.113943352306837,4.227886704613674,2.450249108319361,4.900498216638722
-0.6989700043360187,1.0,-0.3467874862246563,1.3979400086720377,2.2041199826559246,-0.6935749724493127,1.0511525224473812,1.8573324964312685,2.7958800173440754,3.6020599913279625,4.408239965311849,1.7075701760979363,3.4151403521958725
-0.5391021572434522,1.0,0.3979400086720376,1.9030899869919435,2.0,0.7958800173440752,2.3010299956639813,2.3979400086720375,3.806179973983887,3.9030899869919438,4.0,2.2648178230095364,4.529635646019073
-0.4559319556497244,2.0,-1.6989700043360187,1.1760912590556813,1.3010299956639813,-3.3979400086720375,-0.5228787452803376,-0.3979400086720376,2.3521825181113627,2.4771212547196626,2.6020599913279625,2.81424759573192,5.62849519146384
-0.3979400086720376,0.0,-0.2218487496163564,1.3010299956639813,2.3010299956639813,-0.44369749923271273,1.0791812460476249,2.0791812460476247,2.6020599913279625,3.6020599913279625,4.6020599913279625,1.7853298350107671,3.5706596700215343
-0.3979400086720376,1.0,-0.2006594505464183,1.3010299956639813,2.0791812460476247,-0.40131890109283663,1.100370545117563,1.8785217955012066,2.6020599913279625,3.380211241711606,4.158362492095249,1.8750612633917,3.7501225267834
-0.1549019599857432,1.0,-0.07058107428570728,1.6989700043360187,2.255272505103306,-0.14116214857141512,1.6283889300503116,2.184691430817599,3.3979400086720375,3.9542425094393248,4.510545010206612,2.8175653695597807,5.635130739119561
-0.1549019599857432,1.0,0.4913616938342727,2.041392685158225,2.3010299956639813,0.9827233876685453,2.5327543789924976,2.792391689498254,4.08278537031645,4.342422680822207,4.6020599913279625,2.724275869600789,5.448551739201578
0.0,1.0,0.04139268515822508,1.7781512503836436,2.3979400086720375,0.08278537031645007,1.8195439355418688,2.439332693830263,3.5563025007672873,4.176091259055681,4.795880017344075,1.1760912590556813,2.3521825181113627
0.0,0.0,-0.5228787452803376,1.3010299956639813,2.2430380486862944,-1.0457574905606752,0.7781512503836436,1.7201593034059568,2.6020599913279625,3.5440680443502757,4.486076097372589,1.2380461031287955,2.476092206257591
