稳定性,坝体体积,坝体高度,集水区面积
1.0,-0.82390875,0.60206,1.8898617
0.0,-0.39794,0.60206,1.4712917
1.0,0.36810085,1.30103,1.60206
1.0,-1.60206,0.69897,0.44715804
0.0,-0.30103,1.30103,1.50515
0.0,0.0,1.4771212,0.6232493
1.0,-0.04575749,1.30103,1.8976271
0.0,-0.69897,0.90309,1.367356
0.0,-1.2600323,1.0,2.1031191
0.0,-0.69897,1.0,1.7323937
1.0,-0.24987747,1.4771212,0.44715804
1.0,-0.08354605,1.4771212,-0.22184876
0.0,-0.71669877,0.9542425,0.47712126
1.0,1.7147293,1.30103,0.43136376
1.0,0.69897,1.30103,1.1643529
0.0,0.60206,1.7781513,2.4065402
1.0,0.23678909,1.5502284,1.238046
0.0,-0.69897,1.0,2.40824
0.0,-0.30103,1.1760913,1.2455127
1.0,0.38527104,1.8750613,0.79934055
1.0,0.119338386,1.4149734,1.7242758
1.0,0.159492,1.7403626,1.1398791
1.0,1.0334238,1.7781513,0.7781513
1.0,0.23678909,1.60206,0.69897
0.0,-0.66005194,1.243038,2.317018
1.0,-0.2450786,1.447158,1.2600714
1.0,0.40333503,1.8750613,1.0827854
1.0,-1.2218487,0.7781513,0.6812412
0.0,0.49485,1.39794,1.8859264
0.0,-0.69897,0.69897,2.7824726
1.0,0.2097664,1.7558749,1.6434526
1.0,0.0,1.1760913,1.3424227
1.0,-0.55284196,1.1760913,1.1702617
1.0,1.4771212,1.60206,2.0934217
1.0,1.30103,1.90309,2.1199155
0.0,-0.39794,1.30103,0.32221928
1.0,0.7781513,1.4771212,1.5670264
1.0,0.7781513,1.69897,1.9294189
0.0,-0.124938734,1.4771212,0.69897
1.0,-0.61978877,1.0,0.11394335
1.0,0.79588,1.39794,1.8762178
1.0,0.7781513,2.0,1.6127839
0.0,-0.52287877,1.0791812,0.845098
0.0,-0.82390875,1.0,1.0413927
0.0,-0.82390875,1.0791812,1.2787536
1.0,0.17609125,1.60206,0.67209786
0.0,0.92272544,1.4771212,2.1804125
1.0,-0.03151705,1.1760913,1.3443923
0.0,1.0211893,1.90309,2.1682026
0.0,0.30103,1.1760913,1.9190781
1.0,0.24303804,1.60206,0.17609125
0.0,1.20412,1.845098,2.3320343
0.0,1.0,1.69897,1.3222193
1.0,1.230449,1.519828,1.9777236
0.0,0.845098,1.39794,1.9580859
0.0,0.07918125,1.39794,1.5797836
1.0,-0.18708664,1.1760913,1.049218
1.0,-0.39794,1.1760913,1.1846914
0.0,0.64097804,1.5440681,2.5327544
0.0,0.17609125,1.60206,1.808211
1.0,1.1003705,1.60206,1.8847953
1.0,0.845098,1.30103,1.9590414
1.0,0.0,1.0,1.3138672
1.0,-1.1249387,1.0,0.6232493
1.0,1.2552725,1.60206,1.9698817
1.0,0.30103,1.1760913,1.2355285
1.0,0.7403627,1.20412,2.3944516
1.0,0.845098,1.6532125,1.2900347
1.0,1.30103,1.69897,1.6106602
1.0,0.90309,1.30103,1.462398
1.0,1.3617278,1.845098,2.2787535
1.0,1.60206,1.4771212,1.8639174
1.0,1.3758464,1.7781513,2.0538464
1.0,-0.07058107,1.30103,2.765445
1.0,2.0791812,2.0,2.2725377
1.0,1.0,1.69897,1.2855573
1.0,1.60206,1.6532125,1.6063814
1.0,0.845098,1.4771212,0.9294189
1.0,1.30103,1.60206,1.2355285
1.0,0.47712126,1.4771212,2.0802655
0.0,-1.1249387,0.69897,0.748188
0.0,0.0,1.0,0.60206
1.0,0.60206,1.30103,3.3865168
0.0,0.47712126,1.1760913,1.5263393
1.0,-0.15490197,1.1760913,0.30103
0.0,0.39794,0.69897,1.7611759
1.0,0.69897,1.60206,2.067443
0.0,-0.52287877,1.1760913,1.6232493
0.0,-1.0457575,1.0,1.6232493
0.0,0.6532125,1.39794,2.0289776
0.0,0.0,1.0,1.9867717
