稳定性,主要物质组成,坝体体积,坝体高度,集水区面积,下游河道坡度
0.0,0.0,-0.82390875,1.0,1.0413927,0.07918125
0.0,1.0,-0.82390875,1.0791812,1.2787536,0.07918125
1.0,2.0,0.17609125,1.60206,0.67209786,0.5563025
0.0,1.0,0.92272544,1.4771212,2.1804125,-0.15490197
1.0,2.0,-0.03151705,1.1760913,1.3443923,0.3424227
0.0,2.0,1.0211893,1.90309,2.1682026,0.07918125
0.0,2.0,0.30103,1.1760913,1.9190781,0.17609125
1.0,1.0,0.24303804,1.60206,0.17609125,1.3384565
0.0,1.0,1.0,1.69897,1.3222193,0.47712126
1.0,2.0,1.230449,1.519828,1.9777236,-0.22184876
0.0,0.0,0.845098,1.39794,1.9580859,0.60206
0.0,2.0,0.07918125,1.39794,1.5797836,0.2787536
1.0,2.0,-0.39794,1.1760913,1.1846914,0.54406804
0.0,2.0,0.64097804,1.5440681,2.5327544,-0.39794
1.0,2.0,0.845098,1.30103,1.9590414,-0.22184876
1.0,1.0,0.0,1.0,1.3138672,0.2787536
1.0,2.0,-1.1249387,1.0,0.6232493,0.41497335
1.0,2.0,1.2552725,1.60206,1.9698817,0.0
1.0,1.0,0.30103,1.1760913,1.2355285,1.3201463
1.0,1.0,0.7403627,1.20412,2.3944516,-0.096910015
1.0,2.0,0.845098,1.6532125,1.2900347,0.7781513
1.0,1.0,1.30103,1.69897,1.6106602,0.80618
1.0,2.0,0.90309,1.30103,1.462398,0.60206
1.0,1.0,1.3617278,1.845098,2.2787535,-0.30103
1.0,2.0,1.60206,1.4771212,1.8639174,0.54406804
1.0,1.0,1.3758464,1.7781513,2.0538464,-0.22184876
1.0,2.0,-0.07058107,1.30103,2.765445,0.0
1.0,2.0,2.0791812,2.0,2.2725377,0.041392684
1.0,1.0,1.0,1.69897,1.2855573,0.50514996
1.0,2.0,1.60206,1.6532125,1.6063814,0.7558749
1.0,2.0,0.845098,1.4771212,0.9294189,0.5185139
1.0,2.0,0.47712126,1.4771212,2.0802655,0.07918125
0.0,1.0,-1.1249387,0.69897,0.748188,1.2741579
0.0,0.0,0.0,1.0,0.60206,0.5797836
1.0,2.0,0.60206,1.30103,3.3865168,-0.52287877
0.0,0.0,0.47712126,1.1760913,1.5263393,0.30103
1.0,2.0,-0.15490197,1.1760913,0.30103,0.81291336
0.0,1.0,0.39794,0.69897,1.7611759,-0.69897
1.0,2.0,0.69897,1.60206,2.067443,0.8325089
1.0,2.0,0.25072488,1.7781513,-0.15490197,0.63346845
0.0,0.0,-0.52287877,1.1760913,1.6232493,0.041392684
0.0,1.0,-1.0457575,1.0,1.6232493,0.041392684
0.0,2.0,0.6532125,1.39794,2.0289776,-0.04575749
0.0,1.0,0.0,1.0,1.9867717,0.4913617
0.0,2.0,-1.0,1.1760913,0.11394335,0.9777236
1.0,2.0,-0.22184876,1.30103,1.1205739,-0.30103
1.0,2.0,0.78354627,1.90309,0.96378785,0.44715804
0.0,1.0,0.17609125,0.845098,2.3479152,0.5563025
1.0,1.0,0.30103,1.30103,0.98227125,0.23044892
0.0,1.0,0.2552725,1.4771212,2.0326188,0.041392684
0.0,1.0,-0.31875876,1.30103,1.367356,0.54406804
1.0,2.0,0.60206,1.30103,1.2479733,0.07918125
1.0,1.0,0.845098,1.4771212,1.6785184,0.07918125
1.0,2.0,1.1760913,2.0,2.195346,0.36172783
0.0,1.0,0.0,0.69897,2.9008584,0.83884907
0.0,0.0,-1.1249387,1.0,0.9542425,1.0086001
0.0,1.0,-0.52287877,1.30103,1.3891661,0.2787536
0.0,1.0,-0.82390875,1.0,1.9415114,0.53147894
0.0,1.0,0.17609125,0.90309,2.114611,0.32221928
0.0,2.0,-0.39794,1.0,2.4978967,0.14612803
0.0,2.0,0.54406804,1.4771212,0.85125834,0.81954396
0.0,0.0,0.0,1.1760913,1.9116901,0.07918125
0.0,0.0,-2.0,0.69897,1.9590414,-0.096910015
