寿命,坝体高度,坝体长度,坝体宽度,0,0.1,0.2,0.3,0.4,0.5,年平均流量,0.6
-1.6989700043360187,1.1760912590556813,2.113943352306837,2.113943352306837,2.3521825181113627,3.290034611362518,3.290034611362518,4.227886704613674,4.227886704613674,4.227886704613674,1.0413926851582251,2.0827853703164503
-1.3979400086720375,1.6434526764861874,2.568201724066995,3.1760912590556813,3.286905352972375,4.211654400553183,4.819543935541868,5.13640344813399,5.744292983122676,6.352182518111363,1.478999131673357,2.9579982633467137
-1.3979400086720375,1.255272505103306,2.0,2.6532125137753435,2.510545010206612,3.255272505103306,3.90848501887865,4.0,4.653212513775344,5.306425027550687,1.4771212547196624,2.9542425094393248
-1.0969100130080565,0.8450980400142568,2.0,2.3979400086720375,1.6901960800285136,2.845098040014257,3.2430380486862944,4.0,4.3979400086720375,4.795880017344075,1.919078092376074,3.838156184752148
-1.0969100130080565,0.9030899869919435,2.4771212547196626,2.4771212547196626,1.806179973983887,3.380211241711606,3.380211241711606,4.954242509439325,4.954242509439325,4.954242509439325,2.2041199826559246,4.408239965311849
-1.0,1.0,2.1760912590556813,2.1760912590556813,2.0,3.1760912590556813,3.1760912590556813,4.352182518111363,4.352182518111363,4.352182518111363,1.8388490907372552,3.6776981814745104
-0.6989700043360187,1.3979400086720377,2.2041199826559246,2.4771212547196626,2.7958800173440754,3.6020599913279625,3.8750612633917,4.408239965311849,4.681241237375588,4.954242509439325,0.7781512503836436,1.5563025007672873
-0.6989700043360187,1.7558748556724915,2.0791812460476247,2.568201724066995,3.511749711344983,3.835056101720116,4.3240765797394864,4.158362492095249,4.64738297011462,5.13640344813399,3.198931869932209,6.397863739864418
-0.5391021572434522,1.9030899869919435,2.0,2.5440680443502757,3.806179973983887,3.9030899869919438,4.447158031342219,4.0,4.544068044350276,5.088136088700551,1.3010299956639813,2.6020599913279625
-0.3979400086720376,1.3010299956639813,2.0791812460476247,2.0791812460476247,2.6020599913279625,3.380211241711606,3.380211241711606,4.158362492095249,4.158362492095249,4.158362492095249,0.9030899869919435,1.806179973983887
-0.3979400086720376,1.3010299956639813,2.3010299956639813,2.3979400086720375,2.6020599913279625,3.6020599913279625,3.6989700043360187,4.6020599913279625,4.698970004336019,4.795880017344075,0.8450980400142568,1.6901960800285136
-0.3979400086720376,1.3979400086720377,2.3010299956639813,2.3979400086720375,2.7958800173440754,3.6989700043360187,3.7958800173440754,4.6020599913279625,4.698970004336019,4.795880017344075,0.9030899869919435,1.806179973983887
-0.1549019599857432,1.6989700043360187,2.255272505103306,2.4771212547196626,3.3979400086720375,3.9542425094393248,4.176091259055681,4.510545010206612,4.732393759822968,4.954242509439325,1.845098040014257,3.690196080028514
0.0,1.7781512503836436,2.3979400086720375,2.3979400086720375,3.5563025007672873,4.176091259055681,4.176091259055681,4.795880017344075,4.795880017344075,4.795880017344075,0.3010299956639812,0.6020599913279624
0.0,1.3010299956639813,2.3010299956639813,2.0791812460476247,2.6020599913279625,3.6020599913279625,3.380211241711606,4.6020599913279625,4.380211241711606,4.158362492095249,0.9542425094393249,1.9084850188786497
0.17609125905568124,1.8750612633917,2.5440680443502757,2.0969100130080562,3.7501225267834,4.419129307741976,3.9719712763997563,5.088136088700551,4.640978057358332,4.1938200260161125,0.0,0.0
0.414973347970818,1.7853298350107671,2.7596678446896306,3.3010299956639813,3.5706596700215343,4.544997679700398,5.086359830674748,5.519335689379261,6.060697840353612,6.6020599913279625,3.2695129442179165,6.539025888435833
0.47712125471966244,1.9030899869919435,2.3979400086720375,2.5185139398778875,3.806179973983887,4.301029995663981,4.421603926869831,4.795880017344075,4.9164539485499255,5.037027879755775,2.5888317255942073,5.1776634511884145
0.47712125471966244,1.9030899869919435,2.929418925714293,3.380211241711606,3.806179973983887,4.832508912706237,5.283301228703549,5.858837851428586,6.309630167425898,6.760422483423212,3.5873741720730656,7.174748344146131
0.47712125471966244,1.8864907251724818,2.81424759573192,3.5440680443502757,3.7729814503449637,4.700738320904402,5.430558769522757,5.62849519146384,6.358315640082195,7.088136088700551,3.5873741720730656,7.174748344146131
0.6989700043360189,2.278753600952829,2.7781512503836434,2.6989700043360187,4.557507201905658,5.056904851336473,4.977723605288848,5.556302500767287,5.477121254719663,5.3979400086720375,0.6020599913279624,1.2041199826559248
0.7781512503836436,2.146128035678238,2.6020599913279625,2.255272505103306,4.292256071356476,4.748188027006201,4.401400540781544,5.204119982655925,4.857332496431268,4.510545010206612,0.47712125471966244,0.9542425094393249
0.7781512503836436,1.5797835966168101,2.041392685158225,2.5440680443502757,3.1595671932336202,3.621176281775035,4.123851640967086,4.08278537031645,4.585460729508501,5.088136088700551,0.47712125471966244,0.9542425094393249
0.9542425094393249,2.2430380486862944,2.3010299956639813,3.4771212547196626,4.486076097372589,4.544068044350276,5.720159303405957,4.6020599913279625,5.778151250383644,6.954242509439325,2.462397997898956,4.924795995797912
1.0,2.0,2.6020599913279625,2.1760912590556813,4.0,4.6020599913279625,4.176091259055681,5.204119982655925,4.778151250383644,4.352182518111363,0.0,0.0
1.0,1.3010299956639813,2.6989700043360187,2.8750612633917,2.6020599913279625,4.0,4.176091259055681,5.3979400086720375,5.574031267727719,5.7501225267834,2.7573960287930244,5.514792057586049
1.0,1.9867717342662448,2.7634279935629373,2.4313637641589874,3.9735434685324895,4.750199727829182,4.418135498425232,5.526855987125875,5.194791757721925,4.862727528317975,3.2695129442179165,6.539025888435833
