寿命,主要物质组成,坝体体积,坝体高度,0,0.1,0.2,集水区面积,0.3
-2.0,2.0,-0.744727494896694,1.0,-1.489454989793388,0.2552725051033037,2.0,1.7781512503836436,3.5563025007672873
-1.6989700043360187,1.0,-1.0268721464003014,1.1760912590556813,-2.053744292800603,0.14921911265537988,2.3521825181113627,2.0043213737826426,4.008642747565285
-1.3979400086720375,1.0,-0.38721614328026455,1.255272505103306,-0.7744322865605316,0.8680563618230416,2.510545010206612,2.4409090820652177,4.8818181641304355
-1.0969100130080565,1.0,-1.136677139879544,0.8450980400142568,-2.273354279759089,-0.29157909986528724,1.6901960800285136,2.8920946026904804,5.784189205380961
-0.6989700043360187,1.0,-0.638272163982407,1.0,-1.2765443279648143,0.36172783601759284,2.0,2.450249108319361,4.900498216638722
-0.6989700043360187,1.0,-0.3467874862246563,1.3979400086720377,-0.6935749724493127,1.0511525224473812,2.7958800173440754,1.7075701760979363,3.4151403521958725
-0.5391021572434522,1.0,0.3979400086720376,1.9030899869919435,0.7958800173440752,2.3010299956639813,3.806179973983887,2.2648178230095364,4.529635646019073
-0.4559319556497244,2.0,-1.6989700043360187,1.1760912590556813,-3.3979400086720375,-0.5228787452803376,2.3521825181113627,2.81424759573192,5.62849519146384
-0.3979400086720376,0.0,-0.2218487496163564,1.3010299956639813,-0.44369749923271273,1.0791812460476249,2.6020599913279625,1.7853298350107671,3.5706596700215343
-0.3979400086720376,1.0,-0.2006594505464183,1.3010299956639813,-0.40131890109283663,1.100370545117563,2.6020599913279625,1.8750612633917,3.7501225267834
-0.1549019599857432,1.0,-0.07058107428570728,1.6989700043360187,-0.14116214857141512,1.6283889300503116,3.3979400086720375,2.8175653695597807,5.635130739119561
-0.1549019599857432,1.0,0.4913616938342727,2.041392685158225,0.9827233876685453,2.5327543789924976,4.08278537031645,2.724275869600789,5.448551739201578
0.0,1.0,0.04139268515822508,1.7781512503836436,0.08278537031645007,1.8195439355418688,3.5563025007672873,1.1760912590556813,2.3521825181113627
0.0,1.0,-1.0,1.3010299956639813,-2.0,0.3010299956639812,2.6020599913279625,1.919078092376074,3.838156184752148
0.0,0.0,-0.5228787452803376,1.3010299956639813,-1.0457574905606752,0.7781512503836436,2.6020599913279625,1.2380461031287955,2.476092206257591
0.0,0.0,0.8450980400142568,1.3979400086720377,1.6901960800285136,2.2430380486862944,2.7958800173440754,1.958085848521085,3.91617169704217
0.17609125905568124,1.0,0.04139268515822508,1.8750612633917,0.08278537031645007,1.916453948549925,3.7501225267834,0.8450980400142568,1.6901960800285136
0.47712125471966244,0.0,0.0,1.1760912590556813,0.0,1.1760912590556813,2.3521825181113627,1.911690158753861,3.8233803175077217
0.5440680443502757,1.0,0.5185139398778874,1.9030899869919435,1.037027879755771,2.4216039268698313,3.806179973983887,2.681241237375587,5.362482474751174
0.6989700043360189,1.0,-0.2596373105057561,1.505149978319906,-0.5192746210115123,1.24551266781415,3.010299956639812,2.705007959333336,5.410015918666672
0.7781512503836436,0.0,0.5314789170422551,2.146128035678238,1.0629578340845065,2.677606952720493,4.292256071356476,1.4471580313422192,2.8943160626844384
0.7781512503836436,2.0,-0.017728766960431602,1.5797835966168101,-0.035457533920863184,1.5620548296563785,3.1595671932336202,1.5797835966168101,3.1595671932336202
1.0,1.0,0.0,0.8450980400142568,0.0,0.8450980400142568,1.6901960800285136,2.717670503002262,5.435341006004524
1.0,2.0,1.255272505103306,1.6989700043360187,2.510545010206612,2.9542425094393248,3.3979400086720375,3.0874264570362855,6.174852914072571
1.0,2.0,1.0791812460476249,1.3010299956639813,2.1583624920952498,2.380211241711606,2.6020599913279625,3.092018470752797,6.184036941505594
1.1430148002540952,1.0,-0.3979400086720376,2.1760912590556813,-0.7958800173440752,1.7781512503836436,4.352182518111363,1.8976270912904414,3.7952541825808828
1.146128035678238,0.0,1.380211241711606,2.041392685158225,2.760422483423212,3.4216039268698313,4.08278537031645,1.8325089127062364,3.665017825412473
1.2304489213782739,1.0,1.1139433523068367,1.9030899869919435,2.2278867046136734,3.0170333392987803,3.806179973983887,2.187520720836463,4.375041441672926
1.3010299956639813,2.0,1.3064250275506875,2.0,2.612850055101375,3.3064250275506875,4.0,2.74350976472843,5.48701952945686
1.3424226808222062,1.0,0.414973347970818,1.845098040014257,0.829946695941636,2.2600713879850747,3.690196080028514,0.505149978319906,1.0102999566398119
1.3424226808222062,1.0,0.6232492903979004,1.9030899869919435,1.246498580795801,2.526339277389844,3.806179973983887,0.8633228601204559,1.7266457202409118
1.3617278360175928,2.0,-0.8538719643217619,1.4771212547196624,-1.7077439286435239,0.6232492903979004,2.9542425094393248,1.724275869600789,3.448551739201578
1.3617278360175928,2.0,-0.6989700043360187,1.6020599913279623,-1.3979400086720375,0.9030899869919435,3.2041199826559246,1.724275869600789,3.448551739201578
1.3617278360175928,0.0,-0.6989700043360187,1.1760912590556813,-1.3979400086720375,0.47712125471966244,2.3521825181113627,1.724275869600789,3.448551739201578
1.3979400086720377,2.0,0.38381536598043126,1.7558748556724915,0.7676307319608625,2.1396902216529226,3.511749711344983,2.3636119798921444,4.727223959784289
1.4313637641589874,2.0,0.0,1.6020599913279623,0.0,1.6020599913279623,3.2041199826559246,1.724275869600789,3.448551739201578
1.4913616938342726,2.0,0.3010299956639812,1.845098040014257,0.6020599913279624,2.146128035678238,3.690196080028514,2.575187844927661,5.150375689855322
1.4913616938342726,2.0,1.3222192947339193,1.954242509439325,2.6444385894678386,3.2764618041732443,3.90848501887865,1.6334684555795864,3.266936911159173
